Country,Currency,Exchange rate,Price perception,Avg rent local,Avg rent usd,Apples qty,Apples price local,apples per unit usd,Bananas qty,Bananas price local,bananas per unit USD,Tomatoes qty,Tomatoes price local,tomatoes per unit USD,Potatoes qty,Potatoes price local,potatoes per unit USD,Flour qty,Flour price local,flour per unit USD,Rice qty,Rice price local,rice per unit USD,Milk qty,Milk price local,milk per unit USD,Butter qty,Butter price local,butter per unit USD,Eggs qty,Eggs price local,eggs per unit USD,Chicken qty,Chicken price local,chicken per unit USD
United States,USD,1,Mid-range,1330,1330,0.45,3.69,8.2,0.22,0.43,1.954545455,0.55,2.43,4.418181818,0.2,0.45,2.25,0.45,0.8,1.777777778,0.03,0.28,9.333333333,3.79,2.19,0.577836412,0.03,0.25,8.333333333,1,0.12,0.12,0.45,4.79,10.64444444
United States,USD,1,Mid-range,1330,1330,0.16,0.63,3.9375,0.22,0.33,1.5,0.55,6.09,11.07272727,0.32,0.35,1.09375,0.45,0.36,0.8,0.03,0.29,9.666666667,0,0,#DIV/0!,0.02,0.31,15.5,1,0.33,0.33,0.45,7.49,16.64444444
United States,USD,1,Mid-range,1330,1330,0.16,0.66,4.125,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0.45,1.16,2.577777778,0.03,0.39,13,0,0,#DIV/0!,0.02,0.72,36,1,0.58,0.58,0.45,4.99,11.08888889
US,USD,1,Mid-range,2923,2923,0.454,3.99,8.788546256,0.454,0.79,1.740088106,0.454,3.99,8.788546256,0.454,1.29,2.841409692,0.454,0.8,1.762114537,0.028,0.13,4.642857143,3.79,5.49,1.448548813,0.028,0.28,10,12,4.99,0.415833333,0,0,#DIV/0!
US,USD,1,Mid-range,2923,2923,0.454,2.49,5.484581498,0.454,0.99,2.18061674,0.454,1.48,3.259911894,0.454,1,2.202643172,0.454,1.4,3.083700441,0.028,0.14,5,3.79,4.49,1.18469657,0.028,0.29,10.35714286,12,6.99,0.5825,0,0,#DIV/0!
US,USD,1,Mid-range,2923,2923,0.454,1.99,4.383259912,0.454,1.99,4.383259912,0.454,2.29,5.044052863,0.454,1.99,4.383259912,0.028,0.05,1.785714286,0.028,0.25,8.928571429,3.79,4.29,1.131926121,0.028,0.44,15.71428571,12,3.99,0.3325,0,0,#DIV/0!
United States,USD,1,Mid-range,1330,1330,0.45,1.99,4.422222222,0.45,0.59,1.311111111,0.45,0.99,2.2,0.45,0.59,1.311111111,0.45,0.6,1.333333333,0.03,0.16,5.333333333,1.89,3.3,1.746031746,0.03,0.18,6,1,0.18,0.18,0.45,1.79,3.977777778
United States,USD,1,Mid-range,1330,1330,0.45,1.29,2.866666667,0.45,0.69,1.533333333,0.45,1.59,3.533333333,0.45,0.5,1.111111111,0.45,1,2.222222222,0.45,2.2,4.888888889,3.79,2.49,0.656992084,0.03,0.56,18.66666667,1,0.12,0.12,0.45,3.49,7.755555556
United States,USD,1,Mid-range,1330,1330,0.45,3,6.666666667,0,0,#DIV/0!,0.45,1.49,3.311111111,0.45,0.8,1.777777778,0.45,0.65,1.444444444,0,0,#DIV/0!,3.79,5.49,1.448548813,0.03,0.2,6.666666667,0,0,#DIV/0!,0.45,3,6.666666667
USA (San Francisco),USD,1,Budget (cheap),2800,2800,1.36,4.59,3.375,1,1.69,1.69,1,3.49,3.49,2.26,2.97,1.314159292,2.26,3.19,1.411504425,0.9,4.45,4.944444444,0.9,3.99,4.433333333,0.45,5.19,11.53333333,12,2.99,0.249166667,0.9,10.34,11.48888889
